Vintage;Country;County;Designation;Points;Price;Province;Title;Variety;Winery
01/01/1999;France;Muscadet Sèvre et Maine;Elevé en FÃ»ts de ChÃªne Neufs;88;$30.00;Loire Valley;Château du Coing de Saint-Fiacre 1999 Elevé en FÃ»ts de ChÃªne Neufs (Muscadet Sèvre et Maine);Melon;Château du Coing de Saint-Fiacre
01/01/1999;France;Champagne;Millesimé Brut;92;$65.00;Champagne;Ayala 1999 Millesimé Brut (Champagne);Champagne Blend;Ayala
01/01/1999;France;Nuits-St.-Georges;Les Chaliots;87;$37.00;Burgundy;Michel Gros 1999 Les Chaliots (Nuits-St.-Georges);Pinot Noir;Michel Gros
01/01/1999;France;Champagne;Millesimé Brut;90;$75.00;Champagne;Laurent-Perrier 1999 Millesimé Brut (Champagne);Champagne Blend;Laurent-Perrier
01/01/1999;Italy;Chianti Classico;Teuzzo Riserva;86;$31.00;Tuscany;Cecchi 1999 Teuzzo Riserva (Chianti Classico);Sangiovese;Cecchi
01/01/1999;France;Nuits-St.-Georges;Clos dea Argillieres;89;$52.00;Burgundy;Daniel Rion 1999 Clos dea Argillieres (Nuits-St.-Georges);Pinot Noir;Daniel Rion
01/01/1999;France;Champagne;Blanc de Blancs Brut;90;$95.00;Champagne;Delamotte 1999 Blanc de Blancs Brut Chardonnay (Champagne);Chardonnay;Delamotte
01/01/1999;Italy;Fiano di Avellino;Terre di Dora;91;$20.00;Southern Italy;Terredora 1999 Terre di Dora (Fiano di Avellino);White Blend;Terredora
01/01/1999;France;Vosne-Romanée;Aux Brulees;90;$65.00;Burgundy;Michel Gros 1999 Aux Brulees (Vosne-Romanée);Pinot Noir;Michel Gros
01/01/2000;Italy;Toscana;Crognolo;92;$32.00;Tuscany;Tenuta Sette Ponti 2000 Crognolo Sangiovese (Toscana);Sangiovese;Tenuta Sette Ponti
01/01/2000;France;Champagne;Cuvée 1522 Grand Cru Brut;93;$100.00;Champagne;Philipponnat 2000 Cuvée 1522 Grand Cru Brut (Champagne);Champagne Blend;Philipponnat
01/01/2000;France;Clos de Vougeot;Clos de Vougeot;92;$400.00;Burgundy;Domaine Henri Rebourseau 2000 Clos de Vougeot (Clos de Vougeot);Pinot Noir;Domaine Henri Rebourseau
01/01/2000;Italy;Venezia Giulia;Were Dreams, Now it is Just Wine;85;$55.00;Northeastern Italy;Jermann 2000 Were Dreams, Now it is Just Wine Chardonnay (Venezia Giulia);Chardonnay;Jermann
01/01/2000;France;Chassagne-Montrachet;Morgeot;89;$50.00;Burgundy;Louis Latour 2000 Morgeot (Chassagne-Montrachet);Chardonnay;Louis Latour
01/01/2000;Italy;Carignano del Sulcis;Terre Rare Riserva;89;$22.00;Sicily & Sardinia;Sella & Mosca 2000 Terre Rare Riserva (Carignano del Sulcis);Carignano;Sella & Mosca
01/01/2000;Italy;Barolo;Vigneto Boscareto;90;$79.00;Piedmont;Beni di Batasiolo 2000 Vigneto Boscareto (Barolo);Nebbiolo;Beni di Batasiolo
01/01/2000;Italy;Alto Adige;Sanct Valentin;87;$28.00;Northeastern Italy;St. Michael-Eppan 2000 Sanct Valentin Sauvignon Blanc (Alto Adige);Sauvignon Blanc;St. Michael-Eppan
01/01/2000;Italy;Bianco di Custoza;Vigne Alte;88;$11.00;Veneto;Fratelli Zeni 2000 Vigne Alte (Bianco di Custoza);White Blend;Fratelli Zeni
01/01/2000;Italy;Marca Trevigiana;Marinali Bianco;84;$20.00;Veneto;Villa Sandi 2000 Marinali Bianco White (Marca Trevigiana);White Blend;Villa Sandi
01/01/2000;France;Meursault;Chateau De Blagny Premier Cru;89;$40.00;Burgundy;Louis Latour 2000 Chateau De Blagny Premier Cru (Meursault);Chardonnay;Louis Latour
01/01/2000;Italy;Chianti Classico;Scassino;87;$20.00;Tuscany;Terrabianca 2000 Scassino (Chianti Classico);Sangiovese;Terrabianca
01/01/2000;France;Champagne;Joyau de France Brut;91;$116.00;Champagne;Boizel 2000 Joyau de France Brut (Champagne);Champagne Blend;Boizel
01/01/2000;Italy;Barolo;Riserva;92;$84.00;Piedmont;Marchesi di Barolo 2000 Riserva (Barolo);Nebbiolo;Marchesi di Barolo
01/01/2001;Italy;Copertino;Riserva;87;$15.00;Southern Italy;Cantina Sociale Cooperativa di Copertino 2001 Riserva Negroamaro (Copertino);Negroamaro;Cantina Sociale Cooperativa di Copertino
01/01/2001;Italy;Collio;Sauvignon de la Tour;87;$38.00;Northeastern Italy;Villa Russiz 2001 Sauvignon de la Tour Sauvignon Blanc (Collio);Sauvignon Blanc;Villa Russiz
01/01/2001;France;Alsace;Sélection de Grains Nobles;92;$197.00;Alsace;Hugel 2001 Sélection de Grains Nobles Gewurztraminer (Alsace);Gewürztraminer;Hugel
01/01/2001;Italy;Soave Classico;La Froscà;89;$18.00;Veneto;Gini 2001 La Froscà (Soave Classico);White Blend;Gini
01/01/2001;Italy;Barolo;Riserva La Volta;87;$70.00;Piedmont;Viberti 2001 Riserva La Volta (Barolo);Nebbiolo;Viberti
01/01/2001;France;Saint-Émilion;Grand-Portail Cuvée Réservée;86;$15.00;Bordeaux;Caves Fleury 2001 Grand-Portail Cuvée Réservée (Saint-Émilion);Bordeaux-style Red Blend;Caves Fleury
01/01/2001;Italy;Taurasi;Fatica Contadina;90;$54.00;Southern Italy;Terredora 2001 Fatica Contadina (Taurasi);Aglianico;Terredora
01/01/2001;Italy;Taurasi;Riserva CampoRe;92;$70.00;Southern Italy;Terredora 2001 Riserva CampoRe (Taurasi);Aglianico;Terredora
01/01/2001;Italy;Delle Venezie;Capitel Croce;91;$18.00;Northeastern Italy;Anselmi 2001 Capitel Croce White (Delle Venezie);White Blend;Anselmi
01/01/2001;Italy;Barolo;Sorano;91;$60.00;Piedmont;Giacomo Ascheri 2001 Sorano (Barolo);Nebbiolo;Giacomo Ascheri
01/01/2001;Italy;Alto Adige;Lafoa;90;$35.00;Northeastern Italy;Produttori Colterenzio 2001 Lafoa Sauvignon Blanc (Alto Adige);Sauvignon Blanc;Produttori Colterenzio
01/01/2001;Italy;Brunello di Montalcino;Riserva;92;$80.00;Tuscany;Fattoria dei Barbi 2001 Riserva (Brunello di Montalcino);Sangiovese;Fattoria dei Barbi
01/01/2001;Italy;Alto Adige;Lunare;87;$43.00;Northeastern Italy;Cantina Terlano 2001 Lunare Gewürztraminer (Alto Adige);Gewürztraminer;Cantina Terlano
01/01/2001;Italy;Vino Nobile di Montepulciano;Vigneto Poggio Sant'Enrico;92;$75.00;Tuscany;Carpineto 2001 Vigneto Poggio Sant'Enrico (Vino Nobile di Montepulciano);Prugnolo Gentile;Carpineto
01/01/2001;Italy;Friuli Venezia Giulia;Blanc des Rosis;89;$31.00;Northeastern Italy;Mario Schiopetto 2001 Blanc des Rosis White (Friuli Venezia Giulia);White Blend;Mario Schiopetto
01/01/2001;Italy;Friuli Venezia Giulia;Ipso;91;$18.00;Northeastern Italy;Volpe Pasini 2001 Ipso Pinot Grigio (Friuli Venezia Giulia);Pinot Grigio;Volpe Pasini
01/01/2001;Italy;Irpinia;Naturalis Historia;93;$65.00;Southern Italy;Mastroberardino 2001 Naturalis Historia Aglianico (Irpinia);Aglianico;Mastroberardino
01/01/2001;Italy;Trentino;L'Aristocratico;85;$15.00;Northeastern Italy;Ca' Montini 2001 L'Aristocratico Sauvignon Blanc (Trentino);Sauvignon Blanc;Ca' Montini
01/01/2001;France;France;Vin de Pays de l'Ardeche;80;$10.00;France Other;Georges Duboeuf 2001 Vin de Pays de l'Ardeche Viognier (France);Viognier;Georges Duboeuf
01/01/2001;France;Rivesaltes;Domaine de Bila-Haut Vin Doux Naturel;89;$26.00;Languedoc-Roussillon;M. Chapoutier 2001 Domaine de Bila-Haut Vin Doux Naturel Grenache (Rivesaltes);Grenache;M. Chapoutier
01/01/2001;Italy;Soave Classico Superiore;Contrada Salavrenza Vecchie Vigne;91;$24.00;Veneto;Gini 2001 Contrada Salavrenza Vecchie Vigne (Soave Classico Superiore);White Blend;Gini
01/01/2001;Italy;Toscana;Il Decennale;90;$200.00;Tuscany;Poggio di Sotto 2001 Il Decennale Sangiovese (Toscana);Sangiovese;Poggio di Sotto
01/01/2001;Italy;Amarone della Valpolicella Classico;Mazzano;94;$198.00;Veneto;Masi 2001 Mazzano (Amarone della Valpolicella Classico);Corvina, Rondinella, Molinara;Masi
01/01/2001;France;Languedoc;Reserve St. Martin;82;$8.00;Languedoc-Roussillon;Val d'Orbieu 2001 Reserve St. Martin Syrah (Languedoc);Syrah;Val d'Orbieu
01/01/2001;Italy;Vigneti delle Dolomiti;San Leonardo;93;$60.00;Northeastern Italy;Tenuta San Leonardo 2001 San Leonardo Red (Vigneti delle Dolomiti);Red Blend;Tenuta San Leonardo
01/01/2001;France;Champagne;Millésime Brut;90;$51.00;Champagne;Charles Ellner 2001 Millésime Brut (Champagne);Champagne Blend;Charles Ellner
01/01/2001;Italy;Etna;Phiale;90;$26.00;Sicily & Sardinia;Scilio 2001 Phiale (Etna);Red Blend;Scilio
01/01/2001;Italy;Alto Adige;Cornell;89;$33.00;Northeastern Italy;Produttori Colterenzio 2001 Cornell Chardonnay (Alto Adige);Chardonnay;Produttori Colterenzio
01/01/2001;Italy;Gattinara;Trevigne;91;$43.00;Piedmont;Travaglini 2001 Trevigne (Gattinara);Nebbiolo;Travaglini
01/01/2001;Italy;Alto Adige;Beyond the Clouds;90;$40.00;Northeastern Italy;Elena Walch 2001 Beyond the Clouds White (Alto Adige);White Blend;Elena Walch
01/01/2001;Italy;Toscana;Casalferro;91;$50.00;Tuscany;Barone Ricasoli 2001 Casalferro Red (Toscana);Red Blend;Barone Ricasoli
01/01/2001;Italy;Friuli Isonzo;Flors di Uis;88;$27.00;Northeastern Italy;Vie di Romans 2001 Flors di Uis White (Friuli Isonzo);White Blend;Vie di Romans
01/01/2001;Italy;Trentino;Maso Canali;84;$17.00;Northeastern Italy;Ecco Domani 2001 Maso Canali Pinot Grigio (Trentino);Pinot Grigio;Ecco Domani
01/01/2001;Italy;Toscana;Infinito;88;$50.00;Tuscany;Castello di Monastero 2001 Infinito Red (Toscana);Red Blend;Castello di Monastero
01/01/2001;Italy;Toscana;Cortaccio;92;$61.00;Tuscany;Villa Cafaggio 2001 Cortaccio Cabernet Sauvignon (Toscana);Cabernet Sauvignon;Villa Cafaggio
01/01/2002;Italy;Toscana;Vin San Laurentino;92;$95.00;Tuscany;Castello di Bossi 2002 Vin San Laurentino White (Toscana);White Blend;Castello di Bossi
01/01/2002;Italy;Franciacorta;Dosage Zero;90;$88.00;Lombardy;Ca' del Bosco 2002 Dosage Zero Sparkling (Franciacorta);Sparkling Blend;Ca' del Bosco
01/01/2002;France;Champagne;Palmes d'Or Rosé;85;$200.00;Champagne;Nicolas Feuillatte 2002 Palmes d'Or Rosé (Champagne);Champagne Blend;Nicolas Feuillatte
01/01/2002;Italy;Delle Venezie;El Zuiter;87;$22.00;Northeastern Italy;Montelvini 2002 El Zuiter Red (Delle Venezie);Red Blend;Montelvini
01/01/2002;Italy;Soave;Colbaraca Classico;87;$11.00;Veneto;Masi 2002 Colbaraca Classico (Soave);Garganega;Masi
01/01/2002;France;Vin de Pays d'Oc;Nid D'Abeille;82;$8.00;Languedoc-Roussillon;Mommessin 2002 Nid D'Abeille Chardonnay (Vin de Pays d'Oc);Chardonnay;Mommessin
01/01/2002;Italy;Trentino;Vino Santo;89;$35.00;Northeastern Italy;Pisoni 2002 Vino Santo Nosiola (Trentino);Nosiola;Pisoni
01/01/2002;France;Côtes de Saint-Mont;Château du Bascou;84;$42.00;Southwest France;Producteurs Plaimont 2002 Château du Bascou Red (Côtes de Saint-Mont);Red Blend;Producteurs Plaimont
01/01/2002;Italy;Cerasuolo di Vittoria;Barocco;90;$50.00;Sicily & Sardinia;Avide 2002 Barocco (Cerasuolo di Vittoria);Red Blend;Avide
01/01/2002;France;Champagne;Rosé Millésimé;92;$80.00;Champagne;Henriot 2002 Rosé Millésimé (Champagne);Champagne Blend;Henriot
01/01/2002;Italy;Trento;Flavio Riserva Brut Talento;91;$30.00;Northeastern Italy;Rotari 2002 Flavio Riserva Brut Talento Chardonnay (Trento);Chardonnay;Rotari
01/01/2002;Italy;Veneto;Opere Trevigiane Riserva Brut;90;$34.00;Veneto;Villa Sandi 2002 Opere Trevigiane Riserva Brut Sparkling (Veneto);Sparkling Blend;Villa Sandi
01/01/2002;France;Champagne;Blanc de Blancs Brut;91;$65.00;Champagne;Ayala 2002 Blanc de Blancs Brut Chardonnay (Champagne);Chardonnay;Ayala
01/01/2003;Italy;Toscana;Vin San Laurentino;93;$95.00;Tuscany;Castello di Bossi 2003 Vin San Laurentino White (Toscana);White Blend;Castello di Bossi
01/01/2003;France;Madiran;Cuvée Greenwich;92;$30.00;Southwest France;Château Peyros 2003 Cuvée Greenwich Tannat (Madiran);Tannat;Château Peyros
01/01/2003;Italy;Toscana;Veneroso;89;$35.00;Tuscany;Tenuta di Ghizzano 2003 Veneroso Red (Toscana);Red Blend;Tenuta di Ghizzano
01/01/2003;Italy;Salice Salentino;Donna Lisa Rosso;88;$16.00;Southern Italy;Leone de Castris 2003 Donna Lisa Rosso Red (Salice Salentino);Red Blend;Leone de Castris
01/01/2003;Italy;Barolo;Bricco Rocche Prapó;92;$70.00;Piedmont;Ceretto 2003 Bricco Rocche Prapó (Barolo);Nebbiolo;Ceretto
01/01/2003;Italy;Vernaccia di San Gimignano;Riserva;89;$16.00;Tuscany;San Quirico 2003 Riserva (Vernaccia di San Gimignano);Vernaccia;San Quirico
01/01/2003;Italy;Colline Teatine;Marina Cvetic;91;$50.00;Central Italy;Masciarelli 2003 Marina Cvetic Chardonnay (Colline Teatine);Chardonnay;Masciarelli
01/01/2003;Italy;Piave;Raboso;89;$25.00;Veneto;Moletto 2003 Raboso Raboso (Piave);Raboso;Moletto
01/01/2003;France;Champagne;Rosé Brut;90;$75.00;Champagne;Deutz 2003 Rosé Brut (Champagne);Champagne Blend;Deutz
01/01/2003;Italy;Aglianico del Vulture;Re Manfredi Serpara;88;$42.00;Southern Italy;Terre degli Svevi 2003 Re Manfredi Serpara (Aglianico del Vulture);Aglianico;Terre degli Svevi
01/01/2003;Italy;Salice Salentino;Riserva Puteus;86;$17.00;Southern Italy;Mocavero 2003 Riserva Puteus Red (Salice Salentino);Red Blend;Mocavero
01/01/2003;Italy;Toscana;Alcineo;86;$50.00;Tuscany;Palazzo 2003 Alcineo Red (Toscana);Red Blend;Palazzo
01/01/2003;Italy;Umbria;Campoleone;93;$50.00;Central Italy;Lamborghini 2003 Campoleone Red (Umbria);Red Blend;Lamborghini
01/01/2003;France;Haut-Médoc;Kosher;86;$32.00;Bordeaux;Barons Edmund Benjamin de Rothschild 2003 Kosher (Haut-Médoc);Bordeaux-style Red Blend;Barons Edmund Benjamin de Rothschild
01/01/2003;Italy;Sicilia;Sigillo;90;$50.00;Sicily & Sardinia;Avide 2003 Sigillo Red (Sicilia);Red Blend;Avide
01/01/2003;Italy;Toscana;I Sodi di San Niccoló;92;$60.00;Tuscany;Castellare di Castellina 2003 I Sodi di San Niccoló Sangiovese (Toscana);Sangiovese;Castellare di Castellina
01/01/2003;Italy;Sicilia;Schietto;91;$40.00;Sicily & Sardinia;Principi di Spadafora 2003 Schietto Syrah (Sicilia);Syrah;Principi di Spadafora
01/01/2003;Italy;Val di Cornia Suvereto;Gualdo del Re;90;$30.00;Tuscany;Gualdo del Re 2003 Gualdo del Re Sangiovese Grosso (Val di Cornia Suvereto);Sangiovese Grosso;Gualdo del Re
01/01/2003;Italy;Valpolicella Superiore;I Saltari Le Vigne di Turano;87;$25.00;Veneto;Sartori 2003 I Saltari Le Vigne di Turano (Valpolicella Superiore);Corvina, Rondinella, Molinara;Sartori
01/01/2003;France;Muscadet Côtes de Grandlieu;Origine du Haut Bourg;91;$20.00;Loire Valley;Domaine du Haut Bourg 2003 Origine du Haut Bourg (Muscadet Côtes de Grandlieu);Melon;Domaine du Haut Bourg
01/01/2003;Italy;Maremma;Tenuta Belguardo;92;$60.00;Tuscany;Mazzei 2003 Tenuta Belguardo (Maremma);Red Blend;Mazzei
01/01/2003;Italy;Biferno Rosso;Gironia;89;$26.00;Southern Italy;Borgo di Colloredo 2003 Gironia (Biferno Rosso);Red Blend;Borgo di Colloredo
01/01/2003;Italy;Chianti Classico;Riserva;89;$30.00;Tuscany;Castello di Monastero 2003 Riserva (Chianti Classico);Sangiovese;Castello di Monastero
01/01/2003;Italy;Lago di Corbara;Villa Monticelli;91;$30.00;Central Italy;Barberani 2003 Villa Monticelli Red (Lago di Corbara);Red Blend;Barberani
01/01/2003;Italy;Toscana;Castello di Nipozzano Mormoreto;90;$50.00;Tuscany;Marchesi de' Frescobaldi 2003 Castello di Nipozzano Mormoreto Red (Toscana);Red Blend;Marchesi de' Frescobaldi
01/01/2003;Italy;Amarone della Valpolicella Classico;Riserva di Costasera;92;$75.00;Veneto;Masi 2003 Riserva di Costasera (Amarone della Valpolicella Classico);Corvina, Rondinella, Molinara;Masi
01/01/2003;France;Les Baux de Provence;La Stèle Rouge;86;$24.00;Provence;Mas de la Dame 2003 La Stèle Rouge Syrah-Cabernet (Les Baux de Provence);Syrah-Cabernet;Mas de la Dame
01/01/2003;Italy;Rosso del Veronese;Arlèo;90;$45.00;Veneto;Santa Sofia 2003 Arlèo Red (Rosso del Veronese);Red Blend;Santa Sofia
01/01/2003;France;Coteaux d'Aix-en-Provence;Rocher Rouge;89;$80.00;Provence;Château Calissanne 2003 Rocher Rouge Mourvèdre (Coteaux d'Aix-en-Provence);Mourvèdre;Château Calissanne
01/01/2003;Italy;Toscana;Quercegobbe;86;$50.00;Tuscany;Petra 2003 Quercegobbe Merlot (Toscana);Merlot;Petra
01/01/2003;Italy;Amarone della Valpolicella;Rocca Sveva;89;$85.00;Veneto;Cantina di Soave 2003 Rocca Sveva (Amarone della Valpolicella);Corvina, Rondinella, Molinara;Cantina di Soave
01/01/2003;Italy;Barbaresco;Cantina Tre Serre;88;$29.00;Piedmont;Vinchio-Vaglio Serra 2003 Cantina Tre Serre (Barbaresco);Nebbiolo;Vinchio-Vaglio Serra
01/01/2003;Italy;Colli della Toscana Centrale;Il Sole di Alessandro;90;$70.00;Tuscany;Castello di Querceto 2003 Il Sole di Alessandro Cabernet Sauvignon (Colli della Toscana Centrale);Cabernet Sauvignon;Castello di Querceto
01/01/2003;Italy;Montefalco Rosso;Riserva;86;$18.00;Central Italy;Terre de Trinci 2003 Riserva (Montefalco Rosso);Red Blend;Terre de Trinci
01/01/2004;Italy;Lago di Corbara;Red Blend;87;$17.00;Central Italy;Castello di Corbara 2004 Red Blend Red (Lago di Corbara);Red Blend;Castello di Corbara
01/01/2004;France;Champagne;Millésime Premier Cru Extra Brut;91;$160.00;Champagne;Yann Alexandre 2004 Millésime Premier Cru Extra Brut (Champagne);Champagne Blend;Yann Alexandre
01/01/2004;Italy;Brunello di Montalcino;Riserva;89;$120.00;Tuscany;Le Potazzine 2004 Riserva (Brunello di Montalcino);Sangiovese Grosso;Le Potazzine
01/01/2004;France;Champagne;Chardonnay Blanc de Blancs Brut;87;$46.00;Champagne;Nicolas Feuillatte 2004 Chardonnay Blanc de Blancs Brut Chardonnay (Champagne);Chardonnay;Nicolas Feuillatte
